playerID,Player_Name,teamID,Team_Name,leagueID,League_Name,season,Games_Played,Total_Goals,Total_Assists,Total_Shots,Shots_Converted_Perc,Goals_Per_Game
227,Robert Lewandowski,117,Bayern Munich,3,Bundesliga,2020,29,41,7,135,30.0,1.41
2371,Cristiano Ronaldo,150,Real Madrid,4,La Liga,2014,35,48,16,225,21.0,1.37
1741,Zlatan Ibrahimovic,161,Paris Saint Germain,5,Ligue 1,2015,31,38,13,155,25.0,1.23
2098,Luis Suárez,148,Barcelona,4,La Liga,2015,35,40,16,137,28.999999999999996,1.14
3423,Kylian Mbappe-Lottin,161,Paris Saint Germain,5,Ligue 1,2018,29,33,7,125,26.0,1.14
2097,Lionel Messi,148,Barcelona,4,La Liga,2014,38,43,18,187,23.0,1.13
227,Robert Lewandowski,117,Bayern Munich,3,Bundesliga,2019,31,34,4,138,25.0,1.1
2097,Lionel Messi,148,Barcelona,4,La Liga,2016,34,37,9,179,21.0,1.09
2097,Lionel Messi,148,Barcelona,4,La Liga,2018,34,36,13,170,21.0,1.06
1293,Gonzalo Higuaín,105,Napoli,2,Serie A,2015,35,36,2,182,20.0,1.03
227,Robert Lewandowski,117,Bayern Munich,3,Bundesliga,2017,30,29,2,127,23.0,0.97
318,Pierre-Emerick Aubameyang,129,Borussia Dortmund,3,Bundesliga,2016,32,31,2,116,27.0,0.97
647,Harry Kane,82,Tottenham,1,Premier League,2016,30,29,7,110,26.0,0.97
1209,Ciro Immobile,96,Lazio,2,Serie A,2019,37,36,9,142,25.0,0.97
2371,Cristiano Ronaldo,150,Real Madrid,4,La Liga,2015,36,35,11,227,15.0,0.97
3294,Edinson Cavani,161,Paris Saint Germain,5,Ligue 1,2016,36,35,4,143,24.0,0.97
2371,Cristiano Ronaldo,150,Real Madrid,4,La Liga,2017,27,26,5,178,15.0,0.96
8260,Erling Haaland,129,Borussia Dortmund,3,Bundesliga,2020,28,27,6,92,28.999999999999996,0.96
2099,Neymar,161,Paris Saint Germain,5,Ligue 1,2017,20,19,13,91,21.0,0.95
227,Robert Lewandowski,117,Bayern Munich,3,Bundesliga,2015,32,30,2,152,20.0,0.94
2097,Lionel Messi,148,Barcelona,4,La Liga,2017,36,34,12,196,17.0,0.94
2371,Cristiano Ronaldo,98,Juventus,2,Serie A,2019,33,31,5,208,15.0,0.94
3277,Alexandre Lacazette,178,Lyon,5,Ligue 1,2016,30,28,3,85,33.0,0.93
