leagueID,League,season,name,teamID,Games_Played,Wins,Draws,Losses,Goals_Scored,Goals_Conceded,Avg_Shots,Avg_Shots_On_Target,Avg_Fouls,Avg_Corners,Avg_Yellow_Cards,Avg_Red_Cards,Goals_Per_Game,Shots_Per_Goal
4,La Liga,2014,Real Madrid,150,38,30,2,6,118,38,18.05,7.45,10.71,6.47,2.24,0.08,3.11,0.06
4,La Liga,2014,Barcelona,148,38,30,4,4,110,21,16.45,7.18,9.71,6.13,1.74,0.08,2.89,0.07
5,Ligue 1,2014,Paris Saint Germain,161,38,24,11,3,83,36,12.66,5.76,11.58,4.5,1.66,0.08,2.18,0.07
1,Premier League,2014,Manchester City,88,38,24,7,7,83,38,17.63,6.03,11.71,7.18,2.03,0.05,2.18,0.07
3,Bundesliga,2014,Bayern Munich,117,34,25,4,5,80,18,17.21,6.91,12.18,6.53,1.09,0.06,2.35,0.09
5,Ligue 1,2014,Marseille,164,38,21,6,11,76,42,14.32,5.0,14.53,5.63,1.71,0.16,2.0,0.07
1,Premier League,2014,Chelsea,80,38,26,9,3,73,32,14.84,5.53,10.05,5.95,2.03,0.11,1.92,0.08
3,Bundesliga,2014,Wolfsburg,131,34,20,9,5,72,38,15.29,6.06,13.35,5.41,1.29,0.03,2.12,0.08
5,Ligue 1,2014,Lyon,178,38,22,9,7,72,33,13.39,5.58,15.29,4.55,1.68,0.03,1.89,0.08
2,Serie A,2014,Juventus,98,38,26,9,3,72,24,15.84,5.29,13.79,5.82,1.89,0.13,1.89,0.07
4,La Liga,2014,Sevilla,138,38,23,7,8,71,45,12.18,4.92,15.89,5.24,3.03,0.05,1.87,0.07
1,Premier League,2014,Arsenal,83,38,22,9,7,71,36,16.05,5.97,9.92,6.68,1.79,0.05,1.87,0.08
2,Serie A,2014,Lazio,96,38,21,6,11,71,38,14.5,5.58,17.84,5.47,2.74,0.24,1.87,0.08
4,La Liga,2014,Valencia,146,38,22,11,5,70,32,11.61,4.18,14.89,4.42,2.66,0.24,1.84,0.06
2,Serie A,2014,Napoli,105,38,18,9,11,70,54,16.42,6.18,13.79,6.61,2.03,0.16,1.84,0.09
4,La Liga,2014,Atletico Madrid,143,38,23,9,6,67,29,11.5,4.92,14.29,5.13,2.87,0.13,1.76,0.07
3,Bundesliga,2014,Bayer Leverkusen,119,34,17,10,7,62,37,16.29,5.68,17.91,5.94,2.24,0.12,1.82,0.09
1,Premier League,2014,Manchester United,89,38,20,10,8,62,37,13.5,4.74,11.92,5.61,1.68,0.13,1.63,0.08
2,Serie A,2014,Genoa,101,38,16,11,11,62,47,12.87,4.63,16.68,6.11,2.68,0.16,1.63,0.07
2,Serie A,2014,Fiorentina,110,38,18,10,10,61,46,16.21,5.26,14.13,6.5,2.13,0.08,1.61,0.09
